JobTitle,CompanyName,Location,Date,Link,Type,Skills,Experience
Senior Data Management Engineer,Ejada,"Cairo, Egypt",1 day ago,https://wuzzuf.net/jobs/p/hBvUbhBkorHH-Senior-Data-Management-Engineer-Ejada-Cairo-Egypt?o=1&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Engineering - Telecom/Technology  Information Technology (IT)  data engineer, 5+ Yrs of Exp 
Data Management Engineer,Ejada,"Cairo, Egypt",1 day ago,https://wuzzuf.net/jobs/p/dQBEtUvciP43-Data-Management-Engineer-Ejada-Cairo-Egypt?o=2&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Engineering - Telecom/Technology  Computer Science  Data Engineering, 3 - 5 Yrs of Exp 
Data Analyst,Safa International Travel,"Dokki, Giza, Egypt",2 days ago,https://wuzzuf.net/jobs/p/DXVhZh7EX9nn-Data-Analyst-Safa-International-Travel-Giza-Egypt?o=3&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Business Development  Analyst/Research  Analyze  Analysis  BI  business  Computer Science  Data  Data Analysis  Database, 3 - 5 Yrs of Exp 
Big Data Engineer,Worex,"Maadi, Cairo, Egypt",2 days ago,https://wuzzuf.net/jobs/p/nyW6cF5Ydjnt-Big-Data-Engineer-Worex-Cairo-Egypt?o=4&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Data  Big Data  Information Technology (IT)  Computer Engineering  Hadoop  ETL  NoSQL, 2 - 4 Yrs of Exp 
Data Entry Clerk,IPMagiX,"Zamalek, Cairo, Egypt",3 days ago,https://wuzzuf.net/jobs/p/bkVc3WTd71De-Data-Entry-Clerk-IPMagiX-Cairo-Egypt?o=5&l=sp&t=sj&a=data |search-v3|navbg,Freelance / Project, Administration  Customer Service/Support  Writing/Editorial  CRM  Data Entry  Microsoft Office  Database  system, 1 - 2 Yrs of Exp 
Data Analyst,ITCan,"New Cairo, Cairo, Egypt",1 day ago,https://wuzzuf.net/jobs/p/aiRSu9WV14YS-Data-Analyst-ITCan-Cairo-Egypt?o=6&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Analyst/Research  BI  Analysis  analytical  Computer Science  Data Analysis  Development  Engineering  Information Technology (IT)  Power BI, 3 - 5 Yrs of Exp 
Data Engineer - SSIS (On-site),SANTECHTURE,"Cairo, Egypt",5 days ago,https://wuzzuf.net/jobs/p/uJ8LK6aN1Sry-Data-Engineer---SSIS-On-site-SANTECHTURE-Cairo-Egypt?o=7&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  ETL  Data Analytics  SQL, 4 - 7 Yrs of Exp 
Data Analyst,London International Patient Services,"Sheraton, Cairo, Egypt",1 day ago,https://wuzzuf.net/jobs/p/oi4BuGQEFaXn-Data-Analyst-London-International-Patient-Services-Cairo-Egypt?o=8&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Customer Support  XML  Software Development  Computer Skills  English  Support Desk  Technical Support, 1 - 2 Yrs of Exp 
Data Entry,Monglish Academy,"San Stefano, Alexandria, Egypt",6 days ago,https://wuzzuf.net/jobs/p/Nw1tsexe11qh-Data-Entry-Monglish-Academy-Alexandria-Egypt?o=9&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Accounting/Finance  Administration  entry  excel  Microsoft Office  Office clerk  MS Office  MS  Data Entry  Administration, 2 - 6 Yrs of Exp 
Data Scientist,Seoudi Supermarket,"Sheikh Zayed, Giza, Egypt",7 days ago,https://wuzzuf.net/jobs/p/VssduzQBDTOi-Data-Scientist-Seoudi-Supermarket-Giza-Egypt?o=10&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Computer Science  Data Science  Programming  Python  Algorithms  SQL, 1 - 4 Yrs of Exp 
